epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,11330.9,0.68052,0.53807,1.16687,0.9157,0.8071,0.89201,0.73757,0.69942,0.56066,1.15257,0.000264085,0.000264085,0.000264085
79,11471.2,0.66433,0.52765,1.15564,0.91185,0.81011,0.89653,0.74285,0.69638,0.54348,1.15124,0.000253086,0.000253086,0.000253086
80,11611.5,0.66651,0.51718,1.15956,0.90893,0.80634,0.89159,0.74008,0.68715,0.54347,1.14732,0.000242087,0.000242087,0.000242087
81,11750.8,0.66214,0.50884,1.15515,0.89071,0.81627,0.88751,0.73807,0.68581,0.56916,1.14124,0.000231088,0.000231088,0.000231088
82,11890.5,0.66094,0.50849,1.14843,0.91139,0.79898,0.88431,0.73741,0.69803,0.57527,1.14905,0.000220089,0.000220089,0.000220089
83,12030.2,0.65428,0.50026,1.14784,0.91006,0.80695,0.88651,0.73914,0.69215,0.56281,1.13631,0.00020909,0.00020909,0.00020909
84,12169.7,0.65169,0.49881,1.14746,0.90626,0.81202,0.8918,0.74499,0.6776,0.53414,1.13782,0.000198091,0.000198091,0.000198091
85,12308.4,0.65123,0.49023,1.14023,0.88139,0.83218,0.89448,0.74767,0.68758,0.5504,1.14285,0.000187092,0.000187092,0.000187092
86,12451.1,0.64215,0.48464,1.13732,0.89514,0.80265,0.88007,0.74016,0.67822,0.57397,1.13415,0.000176094,0.000176094,0.000176094
87,12589.8,0.64971,0.49192,1.14259,0.88896,0.82726,0.8926,0.74802,0.68984,0.54194,1.13981,0.000165095,0.000165095,0.000165095
88,12732.6,0.64325,0.47526,1.13928,0.90349,0.81533,0.88554,0.74016,0.69233,0.55261,1.1518,0.000154096,0.000154096,0.000154096
89,12872.3,0.62714,0.46703,1.13106,0.89685,0.80469,0.8867,0.74547,0.67959,0.55542,1.136,0.000143097,0.000143097,0.000143097
90,13013.1,0.64047,0.4724,1.13338,0.90792,0.80406,0.87948,0.73827,0.69107,0.57516,1.14335,0.000132098,0.000132098,0.000132098
91,13154.7,0.51142,0.33423,1.07088,0.90762,0.80654,0.87517,0.73292,0.67681,0.5812,1.13891,0.000121099,0.000121099,0.000121099
92,13293.2,0.4959,0.31152,1.06432,0.87509,0.82461,0.88076,0.73996,0.67727,0.55804,1.13763,0.0001101,0.0001101,0.0001101
93,13432.3,0.48744,0.30727,1.06174,0.87859,0.82718,0.88078,0.7402,0.67414,0.55848,1.14583,9.91012e-05,9.91012e-05,9.91012e-05
94,13570.6,0.48698,0.30235,1.05603,0.88495,0.81052,0.8769,0.7361,0.68699,0.56581,1.14286,8.81023e-05,8.81023e-05,8.81023e-05
95,13709.7,0.47578,0.2874,1.04423,0.90936,0.794,0.87638,0.73732,0.67768,0.57863,1.13811,7.71034e-05,7.71034e-05,7.71034e-05
96,13849.3,0.48174,0.28442,1.05104,0.90063,0.80678,0.87645,0.74094,0.66767,0.56916,1.13721,6.61045e-05,6.61045e-05,6.61045e-05
97,13988.5,0.47633,0.27988,1.04392,0.90932,0.78473,0.87446,0.74239,0.67019,0.57323,1.13307,5.51056e-05,5.51056e-05,5.51056e-05
