epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,7872.67,0.75654,0.63296,1.20825,0.89732,0.83219,0.89903,0.73532,0.70105,0.55795,1.14684,0.000286083,0.000286083,0.000286083
77,7974.91,0.73236,0.61189,1.1962,0.89897,0.82795,0.89963,0.72938,0.73375,0.57446,1.15389,0.000275084,0.000275084,0.000275084
78,8075.08,0.73403,0.61794,1.19535,0.89025,0.82784,0.90463,0.73601,0.70638,0.56299,1.14606,0.000264085,0.000264085,0.000264085
79,8176.34,0.72264,0.6027,1.18852,0.87986,0.8365,0.90439,0.73248,0.71525,0.55916,1.1528,0.000253086,0.000253086,0.000253086
80,8277.56,0.72015,0.59128,1.19022,0.90581,0.82007,0.90036,0.73398,0.71719,0.56952,1.1594,0.000242087,0.000242087,0.000242087
81,8380.17,0.72213,0.59135,1.19086,0.90025,0.83317,0.90056,0.73338,0.7094,0.55071,1.1548,0.000231088,0.000231088,0.000231088
82,8481.61,0.7182,0.58501,1.18008,0.8765,0.83239,0.89121,0.72655,0.71495,0.5919,1.1516,0.000220089,0.000220089,0.000220089
83,8581.9,0.71132,0.58477,1.17744,0.88957,0.813,0.89623,0.73233,0.70807,0.57017,1.14277,0.00020909,0.00020909,0.00020909
84,8682.73,0.70824,0.5736,1.17488,0.91195,0.81201,0.90233,0.7377,0.69776,0.55695,1.14565,0.000198091,0.000198091,0.000198091
85,8785.12,0.71468,0.5824,1.17335,0.8971,0.8383,0.89905,0.73331,0.71162,0.54476,1.15434,0.000187092,0.000187092,0.000187092
86,8887.22,0.70642,0.57325,1.17243,0.91625,0.79719,0.89602,0.73607,0.69959,0.57118,1.1429,0.000176094,0.000176094,0.000176094
87,8988.35,0.71629,0.56981,1.17726,0.87963,0.8371,0.904,0.74046,0.69852,0.55378,1.146,0.000165095,0.000165095,0.000165095
88,9089.38,0.70513,0.56563,1.17324,0.89593,0.81973,0.90246,0.73923,0.69719,0.55815,1.13755,0.000154096,0.000154096,0.000154096
89,9190.24,0.68928,0.55193,1.16624,0.88616,0.82612,0.90242,0.73956,0.70546,0.55153,1.14435,0.000143097,0.000143097,0.000143097
90,9292.37,0.70956,0.56345,1.17094,0.88471,0.82727,0.89713,0.73115,0.7152,0.5638,1.15145,0.000132098,0.000132098,0.000132098
91,9396.32,0.59301,0.42975,1.12893,0.92448,0.79192,0.89279,0.72929,0.71204,0.56426,1.15618,0.000121099,0.000121099,0.000121099
92,9496.42,0.57438,0.40729,1.11761,0.90919,0.82498,0.89813,0.73517,0.70833,0.5568,1.1493,0.0001101,0.0001101,0.0001101
93,9595.42,0.56718,0.3953,1.12085,0.89214,0.83242,0.89816,0.73366,0.70729,0.55389,1.1493,9.91012e-05,9.91012e-05,9.91012e-05
94,9695.65,0.56737,0.39349,1.11254,0.90143,0.81516,0.89451,0.73101,0.71775,0.56643,1.14822,8.81023e-05,8.81023e-05,8.81023e-05
95,9794.46,0.55577,0.3822,1.10259,0.90215,0.81425,0.89113,0.73039,0.70933,0.57959,1.13715,7.71034e-05,7.71034e-05,7.71034e-05
96,9893.25,0.56453,0.37658,1.10907,0.90276,0.83083,0.89385,0.73073,0.70764,0.56134,1.14197,6.61045e-05,6.61045e-05,6.61045e-05
97,9992.05,0.56286,0.36962,1.10484,0.88881,0.83208,0.89246,0.73122,0.69575,0.57172,1.13672,5.51056e-05,5.51056e-05,5.51056e-05
