epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,8005.54,0.73523,0.65754,1.23663,0.87353,0.75843,0.83611,0.66974,0.79309,0.66983,1.23854,0.000382323,0.000382323,0.000382323
55,8153.63,0.72656,0.6575,1.2356,0.89058,0.75503,0.83545,0.67259,0.77854,0.67655,1.2247,0.000368574,0.000368574,0.000368574
56,8303.8,0.71517,0.65116,1.22236,0.85196,0.77793,0.84082,0.67854,0.7633,0.66645,1.20703,0.000354826,0.000354826,0.000354826
57,8454.17,0.72499,0.64564,1.22973,0.88223,0.75454,0.83818,0.67664,0.7714,0.67095,1.20914,0.000341077,0.000341077,0.000341077
58,8603.23,0.72382,0.64645,1.2318,0.88307,0.76425,0.84083,0.67282,0.77541,0.65783,1.22144,0.000327328,0.000327328,0.000327328
59,8750.48,0.72257,0.63657,1.22861,0.8782,0.76448,0.83791,0.67798,0.76583,0.67034,1.21239,0.00031358,0.00031358,0.00031358
60,8902.73,0.71342,0.615,1.22274,0.86249,0.76486,0.83796,0.67524,0.76733,0.66245,1.20877,0.000299831,0.000299831,0.000299831
61,9072.88,0.70893,0.61341,1.21616,0.86815,0.76548,0.83311,0.6709,0.77928,0.67809,1.22239,0.000286083,0.000286083,0.000286083
62,9233.32,0.708,0.61516,1.21889,0.89308,0.75287,0.83749,0.67177,0.78288,0.67147,1.22856,0.000272334,0.000272334,0.000272334
63,9380.94,0.7004,0.60972,1.21358,0.86349,0.76304,0.83201,0.67008,0.77625,0.6745,1.22423,0.000258585,0.000258585,0.000258585
64,9529.68,0.70514,0.60823,1.2166,0.85873,0.76869,0.83704,0.67128,0.7795,0.66491,1.22159,0.000244837,0.000244837,0.000244837
65,9678.86,0.70175,0.59771,1.21376,0.87089,0.7682,0.8408,0.67207,0.77664,0.66836,1.21835,0.000231088,0.000231088,0.000231088
66,9829.91,0.6998,0.59092,1.20523,0.87753,0.75887,0.83928,0.6744,0.777,0.66273,1.22097,0.000217339,0.000217339,0.000217339
